#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
420,"Override","KSLV Noh",74,111,"drift phonk","","Override",2021-08-27,1:54,69,76,0,41,54,10,10,-5,E Minor,4,2022-05-04,0KYvs7DKC7Cl5IHmwpP13f,"3066940 Records DK",9A,https://p.scdn.co/mp3-preview/1733d2efa974df78ce85e2f860cc8c775692d88b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514c02dc4c6b2d246296570111
421,"Dynamic","KSLV Noh",59,112,"drift phonk","","Dynamic",2021-07-17,1:59,76,68,3,53,68,0,10,-7,G#/A♭ Major,4,2022-05-04,1S9thcVKBHYKqlEKlKIrbv,"3066940 Records DK",4B,https://p.scdn.co/mp3-preview/be957b7020746e1d73425209b362b7e71b76d7cc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512aa583f657cb51b646cdffbd
422,"64 Ways","Dam Swindle,Mayer Hawthorne",37,115,"deep disco house, deep house, disco house, float house, indie soul, funk, neo soul, pop soul, soul","Dance/Electronic, R&B","Boxed Out",2014-03-24,4:44,76,73,4,0,53,10,60,-11,D#/E♭ Minor,4,2022-05-16,2f63FfjixxnXfQhEZJcrOr,"Dirt Crew Recordings",2A,https://p.scdn.co/mp3-preview/37dfc1e03f7a142c6357414e4ed543f132786838?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851026f1496ee0be46d63163642
423,"Rain - Atjazz Remix","Kerri Chandler,Atjazz",0,124,"classic house, deep house, float house, garage house, minimal tech house, soulful house, tech house, vocal house, afro house, broken beat","Dance/Electronic","More Than a Remix",2012,8:38,72,85,1,6,20,0,10,-8,C♯/D♭ Major,4,2022-05-17,3IFiZ3rgIseO6syig7fNow,"R2 Records",3B,https://p.scdn.co/mp3-preview/8a9f51910114906892707f67f062bd4295fd31a1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851abe785a09ac9fe5c1504e74d
424,"Rare Happiness","Hunee",42,120,"deep soul house","Dance/Electronic","Hunch Music",2015-07-06,5:51,81,69,11,89,72,0,0,-10,G Major,4,2022-05-17,2bpvml9LqQIWz1wkiYUcv0,"Rush Hour",9B,https://p.scdn.co/mp3-preview/a3c38fc73dd9aa0aa107cbc34d50f9dcd06baacf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851672a2b1eefa5682d96ae4610
425,"Banh Mi","Jesse Bru,Max Ulis",16,128,"deep house, disco house, float house, canadian house","Dance/Electronic","Similar Nature - EP",2022-05-13,5:07,82,92,2,83,14,0,10,-8,C♯/D♭ Major,4,2022-05-19,5L0RRpSI1mKExcxqMfgFlG,"SlothBoogie",3B,https://p.scdn.co/mp3-preview/767bee2f57e5827e07d5589a5c522d47ecaf0aa8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485167b1cad96e4889823dbd83f3
426,"Like It Is","Coeo",43,119,"deep house, disco house, float house, munich electronic, nu disco","Dance/Electronic, R&B","Disco Volante EP",2016,5:55,90,68,5,78,66,0,0,-10,D#/E♭ Minor,4,2022-05-19,2hFjxLPeeBZrvLb302MKLj,"Razor-N-Tape Digital",2A,https://p.scdn.co/mp3-preview/8d1de15f90ab9226a24a5e64259c9af73115dd6e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485197569a014c84fdd4d19b40cf
427,"Indian Slap","Carpet Patrol",7,83,"","","Carpet Patrol",2014-03-28,1:51,53,63,39,0,79,20,30,-5,G#/A♭ Minor,4,2022-05-19,4MnvRRxAHUOJu5nAy9976v,"Melting Pot Music",1A,,https://i.scdn.co/image/ab67616d00004851af8c841af0f26734bb7fcee6
428,"Nothing - Original Mix","HNNY",46,117,"deep house, electronica, float house, indie jazz, indie soul, swedish electronic, swedish house, swedish synthpop","Dance/Electronic, Rock, R&B","Nothing",2015-02-01,5:12,79,43,0,45,96,0,0,-11,B Minor,4,2022-05-22,273poy5BHtv5YFedkWIqwj,"Local Talk",10A,https://p.scdn.co/mp3-preview/7925eabc9c31524d1db5de487afe6a79faf0ec41?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510f48c2e994bb13264fd28f2f
429,"No Tears - Original Mix","HNNY",16,119,"deep house, electronica, float house, indie jazz, indie soul, swedish electronic, swedish house, swedish synthpop","Dance/Electronic, Rock, R&B","Tears",2013-12-20,4:35,95,31,8,94,38,20,10,-12,A#/B♭ Minor,4,2022-05-22,4UnmdRKCQOcFYHlmGbBE8X,"Local Talk",3A,https://p.scdn.co/mp3-preview/be80a838a02fba69701f9846d3534f243915c36f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517afd272e8496723a295239c3
430,"TiK ToK","Kesha",77,120,"dance pop, pop, post-teen pop","Pop","Animal (Expanded Edition)",2010-01-01,3:19,76,84,10,0,71,10,20,-3,D Minor,4,2022-05-24,0HPD5WQqrq7wPWR7P7Dw1i,"RCA Records Label",7A,https://p.scdn.co/mp3-preview/8b3b0cacca8b5e3c6a8253363244a93b31510012?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517a6339d6ddfd579f77559b3c
431,"Don't Mean A Thing","Borialis",34,104,"rap rock","Rock","What You Thought You Heard",2004,4:08,51,97,0,0,34,10,30,-4,G Major,4,2022-05-24,3hM2fEf3hBPmEjOv7VwlGT,"Capitol Records",9B,,https://i.scdn.co/image/ab67616d000048510639442af83792d4bccdb77a
432,"Non Photo-Blue","Pinback",40,151,"indie rock","Rock","Summer in Abaddon",2004-10-12,3:43,74,84,2,13,93,0,0,-7,B Minor,4,2022-05-25,0bD2tcbrVRMMVRsF4GX6f1,"Touch and Go Records",10A,https://p.scdn.co/mp3-preview/8856ee6946efa9b09ded9b20317c087898f36c43?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d096ec11bcb930881c048f80
433,"Something In The Way","Nirvana",69,105,"alternative rock, grunge, permanent wave, rock","Rock","Nevermind (Remastered)",1991-09-26,3:52,43,20,75,26,7,0,10,-13,G#/A♭ Major,4,2022-05-26,1nFtiJxYdhtFfFtfXBv06s,"Geffen",4B,,https://i.scdn.co/image/ab67616d00004851e175a19e530c898d167d39bf
434,"Cruise Ship","Young Thug",44,150,"atl hip hop, atl trap, gangster rap, hip hop, melodic rap, pop rap, rap, southern hip hop, trap","Hip Hop","SUPER SLIMEY",2017-10-20,2:46,79,74,1,0,21,20,10,-6,C Major,4,2022-05-28,3C4FUqrrjuvWoHwsumWfIu,"Epic/300/Atlantic Recording Corporation",8B,https://p.scdn.co/mp3-preview/a14b99ad88c5c9a8050ab22d210e86c2e4d17784?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515998097d9467eccb3e99b8c1
435,"Tears - Original Mix","HNNY",22,119,"deep house, electronica, float house, indie jazz, indie soul, swedish electronic, swedish house, swedish synthpop","Dance/Electronic, Rock, R&B","Tears",2013-12-20,6:04,88,28,4,52,48,10,10,-12,C♯/D♭ Major,4,2022-06-05,6LhmfPA8PUebcxn1hLet6T,"Local Talk",3B,https://p.scdn.co/mp3-preview/b936cca4d951d096b2d46360ba4733e99f346f9b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517afd272e8496723a295239c3
436,"Tune You Out","Knuckle Puck",40,169,"alternative emo, anthem emo, chicago pop punk, emo, pop punk","Rock","20/20",2020-09-18,2:58,32,95,0,0,53,0,0,-2,D#/E♭ Major,3,2022-06-07,2omnjJxsVxa75mlSMvLRac,"Rise Records",5B,https://p.scdn.co/mp3-preview/27a501abd72619ce08a15f556be60de7f37979be?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517fa03dc61097df93f8cc0071
437,"Stunnin' (feat. Harm Franklin)","Curtis Waters,Harm Franklin",61,100,"alberta hip hop","Hip Hop","Stunnin' (feat. Harm Franklin)",2020-05-19,2:24,89,69,33,0,94,0,10,-6,B Minor,4,2022-06-07,2D0dj3hVkRQJCp63cxCPEx,"BMG Rights Management (US) LLC",10A,https://p.scdn.co/mp3-preview/32565e5cdb2b9f6760ac8a1bea5e661f2a473ef0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c8e201b69f790a7c6e7e1429
438,"(I Wanna) Make Luv 2 U","LK",25,120,"","","Dreams",2018-05-01,5:37,77,80,1,74,73,10,10,-8,A#/B♭ Minor,4,2022-06-07,4N2CIZYwVtIemASfFwcYIZ,"On Loop",3A,https://p.scdn.co/mp3-preview/d095cb6e8b0049b5d9591277939e95399c345d7a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851715282292610e48bb39d8d20
439,"Underworld - Tuff City Kids Remix","Edu Imbernon,Duologue,Tuff City Kids",33,123,"spanish techno, frankfurt electronic","Dance/Electronic","Underworld",2017-04-28,7:45,77,73,0,90,27,0,0,-7,G#/A♭ Major,4,2022-06-07,4XY0SBVVd27PcnimWv4PN0,"Fayer",4B,https://p.scdn.co/mp3-preview/899cdac413bed10a3579f8b88dd80adc0d1ae67e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851edd56d00d53e86e1d8fad923
