#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Pharaohs","SBTRKT,Roses Gabor",0,127,"electronica, electropop, future garage, indie soul, new rave, uk bass, shiver pop","Rock, Pop, Dance/Electronic, R&B","SBTRKT",2011-06-27,3:38,80,58,1,74,64,0,10,-9,F Minor,4,2018-12-18,3Ve96alMjeaChfLbszJoKZ,"Young Turks Recordings",4A,,https://i.scdn.co/image/ab67616d0000485122d353af2286937c261f4b3e
2,"Síguelo Bailando","Ozuna",65,98,"puerto rican pop, reggaeton, trap latino, urbano latino","Latin","Odisea",2017-08-25,3:46,86,66,17,0,63,0,0,-7,A Minor,4,2019-01-20,5Y9fnynLlIvqtM710MHzfz,"VP Records Corp/Dimelo Vi",8A,https://p.scdn.co/mp3-preview/b40a258024107514e550463b2dca1199775d87df?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b0a875d7f1bfe4ec4aaffa48
3,"Forbidden","Dwson,Sio",0,118,"south african house","Dance/Electronic","Impulsiv",2018-06-08,6:16,79,70,16,19,34,0,0,-8,G#/A♭ Minor,4,2019-01-20,3LSqUGeUsyUo5a1IFzAruE,"Stay True Sounds",1A,,https://i.scdn.co/image/ab67616d000048517c980dc1e7a9ac2c10a04899
4,"Fantasies","Biyo",0,90,"","","Fantasies",2017-10-06,3:23,64,52,4,0,53,10,10,-5,G#/A♭ Minor,4,2019-01-20,21mOjagRSY1WqtPvgrAYLE,"Future Classic",1A,,https://i.scdn.co/image/ab67616d000048514b213569bf71069a8fca92b3
5,"Mar Vista","Pat Lok",0,124,"filter house, indie soul, nu disco","Dance/Electronic, R&B","Hold On Let Go",2017-06-23,3:06,75,84,5,1,47,40,10,-4,F#/G♭ Minor,4,2019-01-20,5WCHG7Dir121gkdIgoa2Ia,"Kitsuné Musique",11A,,https://i.scdn.co/image/ab67616d000048516faf2bf8d22d3ebb8a29713a
6,"Don't U Want Me (feat. Blair De Milo)","Young Franco,Blair De Milo",33,118,"aussietronica, indie soul, ","Dance/Electronic, R&B","Don't U Want Me (feat. Blair De Milo)",2016-01-22,3:27,90,46,22,0,59,60,20,-8,G#/A♭ Minor,4,2019-01-20,5OWBQmdap7NFctFB3PGs8H,"Of Leisure",1A,https://p.scdn.co/mp3-preview/68bb580ad078fd1ffa7e0d652651a707e81ac983?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516b01e810e3da54571944d10e
7,"She's so Untouchable - Original Mix","Garden City Movement",24,102,"israeli indie","Jazz","She's So Untouchable",2017-02-10,3:44,75,78,10,5,69,0,10,-5,E Minor,4,2019-01-20,5pHwg7ezzqFF5VIuIeSJhd,"BLDG5",9A,https://p.scdn.co/mp3-preview/ad79c698f9ccb27d7d678a4eab42ca0cfcec1847?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512eefe210d968561cb43f036d
8,"Repeat","Young the Giant",41,150,"modern alternative rock, modern rock, rock, stomp and holler","Rock, Folk/Acoustic","Home of the Strange",2016-08-12,3:05,66,81,5,0,57,0,30,-5,C♯/D♭ Major,4,2019-01-20,7w5Ww1cW8U9v8Q3g4qLpVD,"Fueled By Ramen",3B,https://p.scdn.co/mp3-preview/297358ec8db48236134347d20b8458b4722ed74f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e1b41f261acaa01849b42991
9,"Why Are Sundays So Depressing","The Strokes",64,110,"alternative rock, garage rock, modern rock, permanent wave, rock","Rock, Blues","The New Abnormal",2020-04-10,4:35,58,71,0,3,30,0,10,-4,C Major,4,2020-12-31,1aOxOpH4AkGAd8OMrKjyNY,"Cult Records/RCA Records",8B,https://p.scdn.co/mp3-preview/fc8cad3fcea32591beb040f14787559dca15a27c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bfa99afb5ef0d26d5064b23b
10,"High Five","Sigrid",47,150,"norwegian pop, pop","Pop","Raw",2018-07-11,2:49,65,63,17,0,51,10,0,-6,C♯/D♭ Major,4,2019-01-20,6dpaekNzHZDhwd9QDayrbB,"Universal-Island Records Ltd.",3B,,https://i.scdn.co/image/ab67616d00004851ef0d29efc80987efba1a343d
11,"Be The One","Cupidon,UMI",38,111,"alternative r&b, bedroom soul, chill r&b, indie r&b, pop, r&b","R&B, Pop","Be The One",2017-02-24,3:07,79,47,24,0,4,0,10,-9,G#/A♭ Major,4,2019-01-20,7ao5gxRowgb0fTTuwvhDeu,"Tanz Dich Gluecklich",4B,https://p.scdn.co/mp3-preview/020b688c28d536708f3fbce06093d62a5101e6e4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516366c8995f0a1d74fd97e611
12,"Digital Witness","St. Vincent",38,105,"art pop, chamber psych, electropop, etherpop, indie pop, indie rock, metropopolis","Pop, Folk/Acoustic, Rock, Dance/Electronic","St. Vincent",2014-02-25,3:22,78,44,1,1,88,0,0,-7,F Major,4,2019-01-22,5L16tlSHNt93RiiRiCc8ya,"Loma Vista",7B,,https://i.scdn.co/image/ab67616d000048517531a068d8126004a625e36f
13,"&burn (with Vince Staples)","Billie Eilish,Vince Staples",56,83,"art pop, electropop, pop, conscious hip hop, hip hop, rap, underground hip hop","Pop, Hip Hop","dont smile at me",2017-12-22,2:59,78,38,21,0,35,30,10,-9,A Minor,4,2019-01-29,6X7qcg95CAeJpTjtg1wooM,"Darkroom",8A,,https://i.scdn.co/image/ab67616d00004851a9f6c04ba168640b48aa5795
14,"Bike Dream","Rostam",39,120,"art pop","Pop","Half-Light",2017-09-15,3:21,51,97,6,0,80,0,10,-3,G#/A♭ Major,4,2019-04-28,1acb8u70kClk6NjITaZyuG,"Nonesuch",4B,https://p.scdn.co/mp3-preview/94b7e56ded24c2934211658e672a71230527bf18?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511dd013b79076d4543a3119b2
15,"Bien Duro","C. Tangana",50,101,"urbano espanol","Latin","Bien Duro",2018-06-22,3:02,85,67,16,2,69,20,10,-6,G Major,4,2019-05-15,3joo84oco9CD4dBsKNWRRW,"Sony Music Entertainment",9B,https://p.scdn.co/mp3-preview/6dbcbf2e6a99a30da3767021d53e6f09f19bd161?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510f650d84ddbd11525ec6d1bf
16,"Nice Boys","TEMPOREX",0,75,"bedroom pop, indie garage rock, san diego indie","Pop, Rock","Care",2017-01-11,3:00,55,67,50,74,34,10,20,-11,D Major,4,2019-06-09,5H2WmzaijYOGTHeHdM3w9P,"NBI",10B,,https://i.scdn.co/image/ab67616d00004851a01ea7f9155b60a0c4f42755
17,"You've Got Magic","Rice & Beans Orchestra",2,124,"","","Cross Over",2007-09-05,3:49,84,67,1,77,97,0,0,-13,A Minor,4,2019-06-10,6fU7x5eULIwP2QBUaHKK9K,"Essential Media Group",8A,https://p.scdn.co/mp3-preview/1ce8dc25c94bdd2738ace7c73083904b374cb8d9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851270df92e9c2548fa793bd132
18,"When I'm Down","Whethan,Oliver Tree",58,94,"edm, electropop, hyperpop, indie poptimism, pop, vapor twitch, alternative hip hop","Hip Hop, Dance/Electronic, Pop","When I'm Down",2016-10-21,2:44,83,77,21,0,49,10,0,-4,G Major,4,2019-06-11,556l9P7WVZVyYUBjT1YFTT,"Whethan, Oliver Tree",9B,https://p.scdn.co/mp3-preview/37acb15d79c6ed9944999072822c2be7c3319891?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c558e54cf2bf2a8dec80aa35
19,"Please Don't Go","Saison",41,124,"deep house, disco house, funky house, funky tech house, house","Dance/Electronic","Please Don't Go",2015-02-09,6:48,94,67,12,9,51,0,0,-7,G#/A♭ Major,4,2019-06-16,61DZiQc2sRohLFApD8lTSk,"Guesthouse Music",4B,https://p.scdn.co/mp3-preview/9c4e4a3626b548c3a95aa3224cd39b1f1a904de6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512f772ba9a8a2cef83b1eb5a4
20,"Fake Happy","Paramore",58,99,"candy pop, pixie, pop emo, pop punk","Pop, Rock","After Laughter",2017-05-12,3:55,73,63,8,0,44,0,10,-6,G Major,4,2019-06-16,6t44iU80A0h8WQ7vc4OoRj,"Fueled By Ramen",9B,https://p.scdn.co/mp3-preview/9f154c3cce5d024006dc7de23ab5dd5e38ec7264?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851dbd83e179619408e5d05cc99
21,"So Many Feelings","EARTHGANG",22,147,"atl hip hop, hip hop, psychedelic hip hop, rap, underground hip hop","Hip Hop","Robots",2017-10-20,3:32,64,70,27,0,56,20,10,-5,G#/A♭ Major,4,2019-06-18,19QudXVSwhHkaukaCyOM0x,"Spillage Village",4B,https://p.scdn.co/mp3-preview/74d5b9f0064761d6614c336502eff8d4355f4ce8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851905d37998cdb059da7784b80
22,"One Kiss (with Dua Lipa)","Calvin Harris,Dua Lipa",84,124,"dance pop, edm, electro house, house, pop, progressive house, uk dance, uk pop","Pop, Dance/Electronic","One Kiss (with Dua Lipa)",2018-04-06,3:34,79,86,4,0,59,10,0,-3,A Minor,4,2019-06-25,7ef4DlsgrMEH11cDZd32M6,"Sony Music UK",8A,https://p.scdn.co/mp3-preview/feacc153d8662226aa192587da60b5f713ab31ca?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d09f96d82310d4d77c14c108
23,"What You Know","Two Door Cinema Club",33,139,"indietronica, irish rock, modern rock, northern irish indie, rock","Pop, World/Traditional, Rock","Tourist History",2010-02-17,3:11,56,74,0,0,78,0,0,-4,F#/G♭ Minor,4,2019-06-28,3UjtIALeg72qmJiKPWBvM3,"Glassnote Entertainment Group LLC",11A,,https://i.scdn.co/image/ab67616d000048511d579563f814da8508cafad2
24,"Another Lifetime - Shareware Remix","Nao,Shareware",25,116,"alternative r&b, indie soul, neo soul, pop, r&b, uk contemporary r&b, ","R&B, Pop","Another Lifetime (Shareware Remix)",2018-08-17,3:23,67,62,12,4,53,30,10,-6,A Minor,4,2019-07-01,2mVW3YWtFGaXeIckXb4L4D,"RCA Records Label",8A,https://p.scdn.co/mp3-preview/d4bce73dede502c3bd9cc7ab4d3f833293ceea80?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851aaf26526444b4fccadd4476e
25,"Once Again - Original Mix","Leon,Shaf Huse",0,125,"italian tech house","Dance/Electronic","Can’t Truss EP",2018-06-15,6:41,79,96,0,92,78,0,0,-7,A#/B♭ Minor,4,2019-07-07,6CS7CwifjmkpMBBFEkwuV1,"Sola",3A,,https://i.scdn.co/image/ab67616d000048519d07f7f426e9cda3f10680fd
26,"Hear This","Jarami",1,110,"indie soul, scandipop","R&B, Dance/Electronic","Hear This",2017-10-20,3:16,75,70,3,10,39,0,20,-5,A Major,4,2019-12-11,6dbo1dCjqgVS3XHcnJmOHx,"Icky & Sticky",11B,,https://i.scdn.co/image/ab67616d00004851e76d82a72e28d789979787bb
27,"100% Skills","Codes",13,125,"bass house","Dance/Electronic","Dirtybird BBQ: Get Roasted",2019-05-03,6:14,81,88,0,89,46,0,20,-5,B Major,4,2019-07-07,1JqMpplu484SPbWyiNDkZx,"DIRTYBIRD",1B,https://p.scdn.co/mp3-preview/1f951a6d535a489b1652a11031b4c75690faf46c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/51657d5b2c19696379fefd8f57b7c360a952a33c
28,"All The Stars (with SZA)","Kendrick Lamar,SZA",56,97,"conscious hip hop, hip hop, rap, west coast rap, pop, r&b","Hip Hop, Pop, R&B","All The Stars (with SZA)",2018-01-04,3:55,71,63,3,2,47,0,0,-5,F Minor,4,2019-08-06,66kQ7wr4d2LwwSjr7HXcyr,"Black Panther (TDE/DMG) PS",4A,,https://i.scdn.co/image/ab67616d00004851c1a0ccc389f263d63d39175f
29,"Wishful Thinking","BENEE",58,82,"alt z, nz pop, pop","Pop","FIRE ON MARZZ",2019-06-28,3:33,64,66,14,0,55,0,10,-6,E Major,4,2019-08-12,06Xh1KvQofFghlSt33mFjc,"Republic Records",12B,,https://i.scdn.co/image/ab67616d00004851447289301b37e205337ddd61
30,"Full Moon","Miguel Bastida",0,124,"deep minimal techno, latin tech house, spanish techno","Dance/Electronic","Full Moon",2018-08-31,5:41,82,74,0,83,63,0,0,-7,C♯/D♭ Major,4,2019-08-13,0XerLUwlWy0zJj8FhvbXq6,"Be One Records",3B,,https://i.scdn.co/image/ab67616d00004851ac6b7e8a49d9e50dcc4d43b3
31,"Desire","Cut Snake",30,123,"bass house","Dance/Electronic","Want It All",2018-06-22,5:46,80,69,1,86,23,0,0,-7,G#/A♭ Major,4,2019-08-13,6RPWLHrulSvhzxst9poLN3,"Desert Hearts Records",4B,https://p.scdn.co/mp3-preview/fa9705e91576cae420ab807a497234b4af54ef49?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518a1228f07ced75f83b764232
32,"Trampoline","SHAED",60,127,"electropop, pop","Pop","MELT",2018-09-21,3:04,69,41,49,0,54,0,0,-8,G Minor,4,2019-08-20,0lsRatBUs9HNIZAmoGABzk,"Photo Finish Records",6A,,https://i.scdn.co/image/ab67616d00004851a1f207de5b29461e5f873a21
33,"Counting Tool","Latmun",8,125,"house, uk tech house","Dance/Electronic","Counting Tool",2018-03-02,4:00,81,98,0,92,91,0,0,-7,F#/G♭ Major,4,2019-08-31,3kcyoF3Ofpl0bML9vvuaEg,"Relief",2B,https://p.scdn.co/mp3-preview/6f471de2f3eeac52a8e2c12dfbc0600872d5fddf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518a3e65a8d60fc93e1f722af8
34,"Comme Si","Evergreen",26,112,"french indie pop","Pop","Overseas",2018-06-15,4:01,89,60,14,1,60,0,10,-7,A Minor,4,2019-09-06,4e22W8lXrXC3ILjLtFzlVp,"Because Music",8A,https://p.scdn.co/mp3-preview/35ab286e0692f4025808dae144c9d5848b8383bf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513dc4dea83c301d7692ced0ab
35,"Leitmotiv","Dauwd",30,116,"ambient house, electronica, float house, future garage, microhouse, uk bass","New age, Rock, Dance/Electronic","Theory of Colours",2017-06-02,5:51,79,62,78,89,58,10,10,-9,F#/G♭ Minor,4,2019-09-11,6d3nvfqBkNjc6nPRGs4Nqe,"Technicolour",11A,https://p.scdn.co/mp3-preview/df33eb5e86978d53930924e3a232d1d530a3cf8a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851199aa5ec1e066eeca88b5850
36,"Armistice","Phoenix",5,150,"alternative dance, indie rock, modern rock, new rave, rock independant francais","Rock","Wolfgang Amadeus Phoenix",2009-05-25,3:05,58,77,5,0,64,0,0,-7,A Minor,4,2019-09-24,6hN21g0h9jft8bZZipsVu2,"Glassnote Entertainment Group LLC",8A,,https://i.scdn.co/image/ab67616d00004851738f2371ae0c10a381aa5052
37,"I Really Love You","Gibbz",30,150,"indie poptimism","Pop","Above Water",2016-03-08,3:07,65,65,0,46,55,0,0,-6,A Major,4,2019-10-11,2qF52omSmDI7SWw3UXI8No,"Gibbz",11B,https://p.scdn.co/mp3-preview/47bd44387fb34df8a44cf352995da017540892dc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516f034906c4892aa98ebd8e0d
38,"Western Kids","Hippo Campus",37,103,"indie pop, indie poptimism, indie rock, minneapolis indie, modern alternative rock, modern rock","Rock, Pop","Landmark",2017-02-24,3:14,64,91,4,0,52,10,40,-4,A#/B♭ Major,4,2019-10-19,4NzZbRu1J9V5KrH2ZFs3O4,"Grand Jury (RED)",6B,https://p.scdn.co/mp3-preview/6d44b2e92256bb10cac6437412ebcf06bc03abad?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d65c698f7b03031930a2a570
39,"Everybody - Original Mix","Solardo,Wade",10,124,"deep groove house, disco house, house, pop dance, uk dance, ","Dance/Electronic","ABODE Ibiza 2018",2018-06-22,6:28,85,77,0,24,69,0,20,-7,F#/G♭ Minor,4,2019-11-06,50u5idWWisk0ntmkoBIfvC,"ABODE Records",11A,https://p.scdn.co/mp3-preview/d464fd4cd4582ac3e0fb04d809af3f411c1e7817?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514bf314c1035da40a1de62460
40,"Electric Blue","Satin Jackets,Panama",42,116,"indie poptimism, indie soul, nu disco, tropical house, australian indie","Dance/Electronic, Pop, R&B","Electric Blue",2019-10-11,4:27,76,71,23,71,50,0,10,-6,A#/B♭ Major,4,2019-11-15,73pgrMq57KzuEDSpUtEDw2,"Eskimo Recordings",6B,https://p.scdn.co/mp3-preview/3788a589ac113932be0027f42488bafe9f7e8af5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485154e2f8cc69f980e3a9c71f79
41,"ISOU","SHAED",30,101,"electropop, pop","Pop","ISOU / Thunder",2019-05-31,3:33,64,45,10,0,35,0,0,-6,F#/G♭ Minor,4,2019-11-18,0ts61Ufav0d4yyT3SLzF1q,"Photo Finish Records",11A,,https://i.scdn.co/image/ab67616d00004851d41a10162cc21a8556a37573
42,"Scrub The Ground (feat. DJ Funk)","Chocolate Puma,Tommie Sunshine,DJ Funk",42,127,"bass house, deep groove house, disco house, dutch edm, edm, electro house, house, pop dance, progressive electro house, progressive house, vocal house, ","Dance/Electronic","Scrub The Ground (feat. DJ Funk)",2015-10-16,2:48,79,89,3,81,68,0,30,-4,B Minor,4,2019-11-28,0fbXFYtHPpq5fVNRGjxZrC,"HELDEEP Records",10A,https://p.scdn.co/mp3-preview/c403346ac56a71aac955a1e649f4a4abc88909a1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517a3770eed87b7562c8ef1958
43,"Rock with Me","Croatia Squad",29,124,"deep groove house, edm, electro house, house","Dance/Electronic","Rock with Me EP",2019-01-18,2:56,83,93,0,0,69,20,50,-4,G Major,4,2019-11-28,4TTgSI6H0ha8j16xuB8dmQ,"Enormous Tunes",9B,https://p.scdn.co/mp3-preview/af48e86d1e4cf890c86268663c22e5d705e61a5c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518243f0a455a97deff2c365c7
44,"The Space Between","Cleopold",22,119,"","","Altitude & Oxygen",2016-06-10,3:23,84,64,17,0,83,0,10,-5,F Minor,4,2019-11-29,38D8te04AqIprQodBAZbg8,"Downtown / Cleopold P&D",4A,,https://i.scdn.co/image/ab67616d0000485174bd7268098d86e2dc4b5886
45,"Along Came Polly - Original Mix","Rebūke",52,124,"irish electronic","Dance/Electronic","Along Came Polly",2018-12-07,6:29,83,60,0,94,8,0,0,-9,C Major,4,2019-11-29,4cTIFTmacy3vyi5A5F3YeD,"Hot Creations",8B,https://p.scdn.co/mp3-preview/6ab906bda559df040bf9ba930c177c94dd1fe2df?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851dece66722cc0fb2202a95cb8
46,"Sleepy Rhythm","Prunk,Aron Volta",13,127,"dutch tech house, ","Dance/Electronic","Bocado EP",2019-09-20,6:38,79,92,1,93,75,0,10,-9,A Major,4,2019-11-29,0xN6re4hdDxQabFRfY8IfO,"PIV Records",11B,https://p.scdn.co/mp3-preview/c2819199e438e75ce946ea3dd1fbe5cf6c377072?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f434d93626995857f5d85867
47,"Fury's Laughter","S.A.M.",0,128,"tech house","Dance/Electronic","Fury's Laughter",2019-06-17,7:58,75,68,0,95,47,0,10,-11,F#/G♭ Minor,4,2019-11-29,3JphBauX9FJz0INPkHPNiw,"PIV Records",11A,,https://i.scdn.co/image/ab67616d00004851264ae4b331ddf3a2cb681611
48,"Rushing","Jamie Jones,Darius Syrossian",36,128,"brazilian edm, deep disco house, deep house, house, minimal techno, tech house, uk tech house, deep groove house, disco house, minimal tech house","Dance/Electronic","Rushing",2019-08-09,3:15,80,86,0,89,70,0,0,-10,B Major,4,2019-11-29,6qNJr9UJ6chKeJV7ritcEz,"Classic Music Company",1B,https://p.scdn.co/mp3-preview/52cfffea8f9fe4b63d6ad5c7d9a31da1753a83af?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518574fd90c21bc5debb220b89
49,"Bappi","Jamie Jones,The Martinez Brothers",18,128,"brazilian edm, deep disco house, deep house, house, minimal techno, tech house, uk tech house, minimal tech house","Dance/Electronic","Bappi",2019-10-11,5:54,79,84,0,86,13,0,0,-7,C♯/D♭ Major,4,2019-11-29,4jHiBP6xFggG8uUuc7u0WE,"Hot Creations",3B,,https://i.scdn.co/image/ab67616d000048514ddade39ffb2d8cae5ac3e1f
50,"Time To Groove","Sidney Charles",0,124,"deep disco house, deep tech house, hamburg electronic, house","Dance/Electronic","Time To Groove",2019-10-18,6:46,77,91,1,90,62,0,0,-5,G Major,4,2019-12-14,5colfpBBgLMTDLt9BDeFNI,"Rejected",9B,,https://i.scdn.co/image/ab67616d00004851708593501852fcd734c272d2
51,"Show Me How to Live","Audioslave",66,89,"alternative metal, alternative rock, nu metal, permanent wave, post-grunge, rock, supergroup","Metal, Rock","Audioslave",2002-11-17,4:37,43,85,0,0,37,0,10,-4,A Major,4,2019-12-14,1Qdnvn4XlmZANCVy3XjrQo,"Epic/Interscope",11B,https://p.scdn.co/mp3-preview/0ade9be4dbffb43ddd2a93ee797d4f93c64dcc52?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a7292b6863258e889b78d787
52,"If U C My Enemies","Rubblebucket",29,91,"art pop, shimmer pop","Pop","If U C My Enemies",2017-01-20,3:48,53,94,1,83,74,0,10,-4,D Major,4,2019-12-14,0r1KWPxT8hihSCzFwHYXmo,"Grand Jury Music",10B,https://p.scdn.co/mp3-preview/6ad413d0756240493c5484cc2d9de44480a7668b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851730377e0b5bfe8da150f56e9
53,"Breakout","Foo Fighters",58,157,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock","Metal, Rock","There Is Nothing Left To Lose",1999-11-02,3:20,42,94,0,0,43,0,10,-4,B Minor,4,2019-12-16,2kh0u2d2YKQ7BCqeLPdHk6,"RCA Records Label",10A,https://p.scdn.co/mp3-preview/80e07b40045c49a85ce1bb83a02be74cec200b34?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511759635c92b6314d3d3c9fe9
54,"Head Like A Haunted House","Queens of the Stone Age",0,198,"alternative metal, alternative rock, blues rock, modern rock, nu metal, palm desert scene, rock, stoner metal, stoner rock","Metal, Rock, Blues","Villains",2017-08-25,3:21,29,99,0,0,34,10,0,-3,G Major,4,2019-12-25,3Ikx48PUIc4w36Li5Lhw0h,"Matador",9B,,https://i.scdn.co/image/ab67616d00004851c96f7c7b077c224975b4c5ce
55,"Dazed (feat. Gabrielle & Geoffroy)","Men I Trust,Geoffroy,Gabrielle",44,120,"indie pop, indie quebecois, ","Rock, Blues","Men I Trust",2014-05-28,3:52,84,33,12,6,85,0,10,-11,F#/G♭ Minor,4,2020-01-20,7BaZ7WlAdhOaGjIUYWsUWy,"Indie",11A,https://p.scdn.co/mp3-preview/cb442b6dc7e058db7ba139d6477dcc2adfcf844e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ce63864a608e9dec28caca1b
56,"Everybody Knows","SBTRKT",0,131,"electronica, electropop, future garage, indie soul, new rave, uk bass","Rock, Pop, Dance/Electronic, R&B","Wonder Where We Land",2014-10-07,3:31,68,79,3,40,37,0,10,-7,G#/A♭ Major,4,2020-01-24,3vvWkQ20y5bkMfiK2hcHjI,"Young Turks Recordings Ltd",4B,,https://i.scdn.co/image/ab67616d000048511fecb146ba8b138e29b069be
57,"Thicc","Remi Wolf",0,94,"indie pop, modern alternative pop, pop","Rock, Pop","You're a Dog!",2019-09-20,2:34,39,59,3,0,23,0,20,-8,C Major,4,2020-02-07,1n4fAND01qwZypCnrZ737Z,"Remi Wolf",8B,,https://i.scdn.co/image/ab67616d000048510088dfe5a898582cbaebdd92
58,"Ladies Night","Chris Stussy,Bas Roos",24,118,"dutch tech house, minimal tech house, dutch house","Dance/Electronic","Ladies Night EP",2017-03-03,6:03,91,60,1,54,75,0,10,-8,A Minor,4,2020-02-07,3gcHYnkjWNXbZw1WwqfppS,"Robsoul",8A,https://p.scdn.co/mp3-preview/329971d7e2c27ec8ea0f2b6c9e2a1d553fad4f79?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d8d8b0bcfc3fe1d107f9652b
59,"Otto's Chant","Skream,Michael Bibi",42,128,"classic dubstep, uk bass, house","Dance/Electronic","Otto's Chant",2019-05-24,6:09,81,84,0,56,83,0,0,-9,A Major,4,2020-02-11,3j8PXtq0NN7QQVdNwkoFBe,"Solid Grooves Records",11B,https://p.scdn.co/mp3-preview/dbd71f2525294e6d378046a628a0c8180353b657?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ef3a86bd2a9407f2281585b9
60,"Moment","Haywyre",29,180,"canadian electronic, complextro, edm, electro house, future bass, gaming edm, vapor twitch","Dance/Electronic","Two Fold Pt. 2",2016-02-08,3:12,66,67,33,19,67,10,20,-7,G Major,4,2020-02-28,505OyWlyGg3XPxER2JHBDZ,"Monstercat",9B,https://p.scdn.co/mp3-preview/cfc571e1019574f809e32b8173147f17167e2d70?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511942942ae881543bc1dcb0ba
61,"Break-Thru","Dirty Projectors",33,104,"art pop, brooklyn indie, experimental pop, indie pop, indie rock","Pop, Rock","Lamp Lit Prose",2018-07-13,3:47,80,51,28,1,82,0,20,-6,D Major,4,2020-02-28,65tjr5cWJmsA8KHVvuC7b2,"Domino Recording Co",10B,https://p.scdn.co/mp3-preview/bf1f142a70cb7f34ac4c263c21bb003a0ecb57eb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fbfd0d52d27069b99285a92f
62,"Life Is Good (feat. Drake)","Future,Drake",73,142,"atl hip hop, rap, southern hip hop, trap, canadian hip hop, canadian pop, hip hop, toronto rap","Hip Hop, Pop, R&B","Life Is Good (feat. Drake)",2020-01-10,3:57,68,61,7,0,51,40,10,-6,D Minor,4,2020-03-16,5yY9lUy8nbvjM1Uyo1Uqoc,"Epic/Freebandz",7A,https://p.scdn.co/mp3-preview/da2f2b1ca502aac78da0945f126d8e285c6ff452?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518a01c7b77a34378a62f46402
